   Berechnungsergebnisse Simulationsprogramm SMUSI 4.0  -  Institut fuer Wasserbau - TH Darmstadt
   ==============================================================================================
   
   Demonstrationsbeispiel "DEMO"          
   Regen: Demo 1968                       
                                          
   Datum der Simulation   : 27.03.1998 13:32 Uhr
   Wellenausgabe - Flaeche: F10 
 
   Datum   Zeit   VP    VW   Svab  hvu   PSIu  SUM(hN)   hN    hNeffb  hNeffu   Qtrab     Qab     CSab(3)
     -      -    mm/d   mm    mm    mm    -      mm      mm      mm      mm     cbm/s    cbm/s     mg/l
 19680428 13:05  4.79  28.1  0.61  5.23  0.00   0.787   0.093   0.013   0.000   0.0086   0.0097   271.539  T T
 19680428 13:10  4.79  28.2  0.69  5.23  0.00   0.964   0.177   0.059   0.000   0.0086   0.0155   209.491  T T
 19680428 13:15  4.79  28.4  0.85  5.23  0.00   1.199   0.235   0.106   0.000   0.0086   0.0273   164.779  T T
 19680428 13:20  4.79  28.6  1.00  5.23  0.00   1.634   0.435   0.346   0.000   0.0086   0.0593   132.785  T T
 19680428 13:25  4.79  29.1  1.00  5.23  0.00   2.060   0.426   0.409   0.000   0.0086   0.1044   121.023  T T
 19680428 13:30  4.79  29.5  1.00  5.23  0.00   2.417   0.357   0.340   0.000   0.0086   0.1310   117.874  T T
 19680428 13:35  4.79  29.8  1.00  5.23  0.00   2.760   0.343   0.326   0.000   0.0086   0.1348   117.527  T T
 19680428 13:40  4.79  30.2  1.00  5.23  0.00   3.103   0.343   0.326   0.000   0.0086   0.1326   117.732  T T
 19680428 13:45  4.79  30.5  1.00  5.23  0.00   3.417   0.314   0.297   0.000   0.0086   0.1299   117.981  T T
 19680428 13:50  4.79  30.8  1.00  5.23  0.00   3.597   0.180   0.163   0.000   0.0086   0.1155   119.529  T T
 19680428 13:55  4.79  31.0  1.00  5.23  0.00   3.713   0.116   0.099   0.000   0.0086   0.0900   123.497  T T
 19680428 14:00  4.79  31.1  1.00  5.23  0.00   3.829   0.116   0.099   0.000   0.0073   0.0679   122.874  T T
 19680428 14:05  4.79  31.2  1.00  5.23  0.00   3.945   0.116   0.099   0.000   0.0073   0.0582   125.767  T T
 19680428 14:10  4.79  31.4  1.00  5.23  0.00   4.060   0.115   0.098   0.000   0.0073   0.0547   127.072  T T
 19680428 14:15  4.79  31.5  1.00  5.23  0.00   4.172   0.112   0.095   0.000   0.0073   0.0526   127.921  T T
 19680428 14:20  4.79  31.6  1.00  5.23  0.00   4.280   0.108   0.091   0.000   0.0073   0.0504   128.873  T T
 19680428 14:25  4.79  31.7  1.00  5.23  0.00   4.388   0.108   0.091   0.000   0.0073   0.0485   129.814  T T
 19680428 14:30  4.79  31.8  1.00  5.23  0.00   4.496   0.108   0.091   0.000   0.0073   0.0471   130.521  T T
 19680428 14:35  4.79  31.9  1.00  5.23  0.00   4.611   0.115   0.098   0.000   0.0073   0.0468   130.675  T T
 19680428 14:40  4.79  32.0  1.00  5.23  0.00   4.758   0.147   0.130   0.000   0.0073   0.0499   129.102  T T
 19680428 14:45  4.79  32.2  1.00  5.23  0.00   4.916   0.158   0.141   0.000   0.0073   0.0555   126.727  T T
 19680428 14:50  4.79  32.3  1.00  5.23  0.00   5.074   0.158   0.141   0.000   0.0073   0.0598   125.205  T T
 19680428 14:55  4.79  32.5  1.00  5.23  0.00   5.219   0.145   0.128   0.000   0.0073   0.0606   124.961  T T
 19680428 15:00  4.67  32.6  1.00  5.23  0.00   5.307   0.088   0.072   0.000   0.0066   0.0538   122.498  T T
 19680428 15:05  4.67  32.7  1.00  5.23  0.00   5.374   0.067   0.051   0.000   0.0066   0.0432   126.567  T T
