ZEIT;AA  _TEM;AA  _ETP;AA  _IZP;AA  _TRA;AA  _EVA;AA  _ETA;AA  _SCH;AA  _NIE;AA  _NEF;AA  _QOB;AA  _QBA;AA  _QIN;AA  _1AB;AA  _BOF;AE  _TEM;AE  _ETP;AE  _IZP;AE  _TRA;AE  _EVA;AE  _ETA;AE  _SCH;AE  _NIE;AE  _NEF;AE  _QOB;AE  _QBA;AE  _QIN;AE  _1AB;AE  _BOF;AB  _TEM;AB  _ETP;AB  _IZP;AB  _TRA;AB  _EVA;AB  _ETA;AB  _SCH;AB  _NIE;AB  _NEF;AB  _QOB;AB  _QBA;AB  _QIN;AB  _1AB;AB  _BOF;AC  _TEM;AC  _ETP;AC  _IZP;AC  _TRA;AC  _EVA;AC  _ETA;AC  _SCH;AC  _NIE;AC  _NEF;AC  _QOB;AC  _QBA;AC  _QIN;AC  _1AB;AC  _BOF;AD  _TEM;AD  _ETP;AD  _IZP;AD  _TRA;AD  _EVA;AD  _ETA;AD  _SCH;AD  _NIE;AD  _NEF;AD  _QOB;AD  _QBA;AD  _QIN;AD  _1AB;AD  _BOF;S0  _1ZU;S0  _1AB;S0  _WSP;S0  _  v;S1  _1ZU;S1  _1AB;S1  _WSP;S1  _  v;S2  _1ZU;S2  _1AB;S2  _WSP;S2  _  v;S3  _1ZU;S3  _1AB;S3  _WSP;S3  _  v
-;°C;mm;mm;mm;mm;mm;mm;mm;mm;m3/s;m3/s;m3/s;m3/s;mm/m;°C;mm;mm;mm;mm;mm;mm;mm;mm;m3/s;m3/s;m3/s;m3/s;mm/m;°C;mm;mm;mm;mm;mm;mm;mm;mm;m3/s;m3/s;m3/s;m3/s;mm/m;°C;mm;mm;mm;mm;mm;mm;mm;mm;m3/s;m3/s;m3/s;m3/s;mm/m;°C;mm;mm;mm;mm;mm;mm;mm;mm;m3/s;m3/s;m3/s;m3/s;mm/m;m3/s;m3/s;m;m/s;m3/s;m3/s;m;m/s;m3/s;m3/s;m;m/s;m3/s;m3/s;m;m/s
02.01.1959 00:00;1.325;0.096;0;0;0;0.096;0;1.539;0.385;0.033;0.084;0;0.117;0;1.325;0.096;0;0;0;0.096;0;5.904;1.476;0.099;0.066;0;0.165;0;1.325;0.096;0;0;0;0.096;0;9.094;2.273;0.113;0.054;0;0.167;0;1.325;0.096;0;0;0;0.096;0;9.008;2.252;0.197;0.102;0;0.3;0;1.325;0.096;0;0;0;0.096;0;7.781;1.945;0.195;0.112;0;0.307;0;0.307;0;0;            NaN;0.467;0;0;            NaN;0.165;0;0;            NaN;0.117;0;0;            NaN
03.01.1959 00:00;-0.175;0.103;0;0;0;0.103;56.46;6.211;0;0.011;0.084;0;0.095;0;-0.175;0.103;0;0;0;0.103;73.097;8.041;0;0.031;0.066;0;0.098;0;-0.175;0.103;0;0;0;0.103;86.932;9.562;0;0.048;0.054;0;0.102;0;-0.175;0.103;0;0;0;0.103;86.028;9.463;0;0.099;0.102;0;0.201;0;-0.175;0.103;0;0;0;0.103;69.193;7.611;0;0.088;0.112;0;0.2;0;0.2;0.307;0;            NaN;0.611;0.467;0;            NaN;0.564;0.165;0;            NaN;0.26;0.117;0;            NaN
04.01.1959 00:00;-2.588;0.102;0;0;0;0.102;100.994;4.899;0;0.001;0.084;0;0.086;0;-2.588;0.102;0;0;0;0.102;111.148;4.186;0;0.003;0.066;0;0.07;0;-2.588;0.102;0;0;0;0.102;122.159;3.875;0;0.007;0.054;0;0.061;0;-2.588;0.102;0;0;0;0.102;120.688;3.812;0;0.017;0.102;0;0.119;0;-2.588;0.102;0;0;0;0.102;95.432;2.886;0;0.013;0.112;0;0.125;0;0.125;0.2;0;            NaN;0.38;0.611;0;            NaN;0.68;0.564;0;            NaN;0.65;0.26;0;            NaN
05.01.1959 00:00;-1.681;0.107;0;0;0;0.107;151.756;5.584;0;0;0.084;0;0.084;0;-1.681;0.107;0;0;0;0.107;157.682;5.119;0;0;0.066;0;0.066;0;-1.681;0.107;0;0;0;0.107;165.341;4.75;0;0;0.054;0;0.054;0;-1.681;0.107;0;0;0;0.107;164.04;4.769;0;0.001;0.102;0;0.103;0;-1.681;0.107;0;0;0;0.107;142.324;5.158;0;0;0.112;0;0.112;0;0.112;0.125;0;            NaN;0.282;0.38;0;            NaN;0.446;0.68;0;            NaN;0.765;0.65;0;            NaN
06.01.1959 00:00;0.956;0.128;0;0;0;0.128;52.31;11.779;1.887;0.16;0.084;0;0.244;0;0.956;0.128;0;0;0;0.128;55.532;11.546;1.669;0.112;0.066;0;0.178;0;0.956;0.128;0;0;0;0.128;59.697;11.225;1.383;0.069;0.054;0;0.123;0;0.956;0.128;0;0;0;0.128;58.99;11.282;1.433;0.126;0.102;0;0.228;0;0.956;0.128;0;0;0;0.128;47.209;11.704;2.119;0.213;0.112;0;0.325;0;0.325;0.112;0;            NaN;0.463;0.282;0;            NaN;0.461;0.446;0;            NaN;0.69;0.765;0;            NaN
07.01.1959 00:00;2.213;0.155;0;0;0;0.155;10.556;10.812;6.878;0.634;0.084;0;0.718;0;2.213;0.155;0;0;0;0.155;13.748;11.029;6.936;0.5;0.066;0;0.567;0;2.213;0.155;0;0;0;0.155;17.872;11.331;7.015;0.377;0.054;0;0.431;0;2.213;0.155;0;0;0;0.155;17.172;11.274;7;0.677;0.102;0;0.779;0;2.213;0.155;0;0;0;0.155;5.276;12.126;7.225;0.821;0.112;0;0.933;0;0.933;0.325;0;            NaN;1.535;0.463;0;            NaN;1.03;0.461;0;            NaN;1.179;0.69;0;            NaN
08.01.1959 00:00;-0.35;0.142;0;0;0;0.142;58.776;6.464;0;0.194;0.084;0;0.278;0;-0.35;0.142;0;0;0;0.142;65.488;6.878;0;0.15;0.066;0;0.217;0;-0.35;0.142;0;0;0;0.142;73.543;7.344;0;0.153;0.054;0;0.207;0;-0.35;0.142;0;0;0;0.142;72.271;7.275;0;0.317;0.102;0;0.419;0;-0.35;0.142;0;0;0;0.142;59.891;7.151;0;0.341;0.112;0;0.453;0;0.453;0.933;0;            NaN;1.559;1.535;0;            NaN;1.751;1.03;0;            NaN;1.308;1.179;0;            NaN
09.01.1959 00:00;-2.7;0.124;0;0;0;0.124;128.992;7.724;0;0.02;0.084;0;0.105;0;-2.7;0.124;0;0;0;0.124;133.306;7.46;0;0.015;0.066;0;0.082;0;-2.7;0.124;0;0;0;0.124;140.588;7.375;0;0.021;0.054;0;0.076;0;-2.7;0.124;0;0;0;0.124;139.049;7.346;0;0.052;0.102;0;0.155;0;-2.7;0.124;0;0;0;0.124;123.459;6.992;0;0.05;0.112;0;0.162;0;0.162;0.453;0;            NaN;0.683;1.559;0;            NaN;1.641;1.751;0;            NaN;1.856;1.308;0;            NaN
10.01.1959 00:00;-3.475;0.157;0;0;0;0.157;200.781;7.897;0;0;0.084;0;0.085;0;-3.475;0.157;0;0;0;0.157;200.039;7.341;0;0;0.066;0;0.067;0;-3.475;0.157;0;0;0;0.157;207.065;7.312;0;0.001;0.054;0;0.055;0;-3.475;0.157;0;0;0;0.157;204.47;7.196;0;0.002;0.102;0;0.104;0;-3.475;0.157;0;0;0;0.157;178.374;6.041;0;0.001;0.112;0;0.113;0;0.113;0.162;0;            NaN;0.32;0.683;0;            NaN;0.749;1.641;0;            NaN;1.726;1.856;0;            NaN
