  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700623 00:05  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:10  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:15  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:20  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:25  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:30  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:35  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:40  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:45  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:50  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 00:55  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:00  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:05  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:10  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:15  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:20  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:25  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:30  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:35  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:40  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:45  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:50  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 01:55  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 02:00  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 02:05  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 02:10  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 02:15  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
