  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 00:05    0.012    0.012    0.012    0.012    0.000    0.000    947.997    947.997    947.997       F F
 19700623 00:10    0.010    0.010    0.010    0.010    0.000    0.000    932.641    932.641    932.641       F F
 19700623 00:15    0.010    0.010    0.010    0.010    0.000    0.000    925.043    925.043    925.043       F F
 19700623 00:20    0.010    0.010    0.010    0.010    0.000    0.000    920.220    920.220    920.220       F F
 19700623 00:25    0.010    0.010    0.010    0.010    0.000    0.000    917.828    917.828    917.828       F F
 19700623 00:30    0.010    0.010    0.010    0.010    0.000    0.000    915.038    915.038    915.038       F F
 19700623 00:35    0.010    0.010    0.010    0.010    0.000    0.000    911.493    911.493    911.493       F F
 19700623 00:40    0.010    0.010    0.010    0.010    0.000    0.000    909.290    909.290    909.290       F F
 19700623 00:45    0.010    0.010    0.010    0.010    0.000    0.000    908.508    908.508    908.508       F F
 19700623 00:50    0.010    0.010    0.010    0.010    0.000    0.000    908.329    908.329    908.329       F F
 19700623 00:55    0.010    0.010    0.010    0.010    0.000    0.000    908.301    908.301    908.301       F F
 19700623 01:00    0.009    0.009    0.009    0.009    0.000    0.000    895.985    895.985    895.985       F F
 19700623 01:05    0.009    0.009    0.009    0.009    0.000    0.000    890.380    890.380    890.380       F F
 19700623 01:10    0.009    0.009    0.009    0.009    0.000    0.000    887.946    887.946    887.946       F F
 19700623 01:15    0.009    0.009    0.009    0.009    0.000    0.000    886.424    886.424    886.424       F F
 19700623 01:20    0.009    0.009    0.009    0.009    0.000    0.000    885.673    885.673    885.673       F F
 19700623 01:25    0.009    0.009    0.009    0.009    0.000    0.000    885.213    885.213    885.213       F F
