 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 10.00000 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00000      158.246      157.716  DX1
   388785   388788        0.00000      151.222      150.950  DX2
   392024   390958        0.00000      153.808      152.924  DX3
   390952   389877        0.00000      153.808      152.924  DX4
   428022   429081        0.00000      163.681      157.948  DX5
   428021   428727        0.00000      163.026      157.948  DX6
   429085   429790        0.00000      157.089      156.500  DX7
   429084   429791        0.00000      157.089      156.500  DX8
   211280   213686        0.00000      153.138      152.259  DX9
   211279   211287        0.00000      153.138      152.368  DX10
   419545   420721        0.00000      157.500      156.541  DX11
   419544   420719        0.00000      157.500      156.541  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.700  DX14
   152442   146951        0.00000      151.816      150.280  DX15
   152443   146952        0.00000      151.816      150.280  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 61.47808 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00000      158.246      157.716  DX1
   388785   388788        0.00000      151.222      150.950  DX2
   392024   390958        0.00000      153.808      152.924  DX3
   390952   389877        0.00000      153.808      152.924  DX4
   428022   429081        0.00000      163.681      157.948  DX5
   428021   428727        0.00000      163.026      157.948  DX6
   429085   429790        0.00000      157.089      156.501  DX7
   429084   429791        0.00000      157.089      156.501  DX8
   211280   213686        0.00000      153.138      152.259  DX9
   211279   211287        0.00000      153.138      152.368  DX10
   419545   420721        0.00000      157.500      156.541  DX11
   419544   420719        0.00000      157.500      156.541  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.700  DX14
   152442   146951        0.00000      151.816      150.281  DX15
   152443   146952        0.00000      151.816      150.281  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 120.1846 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00000      158.246      157.717  DX1
   388785   388788        0.00000      151.222      150.951  DX2
   392024   390958        0.00000      153.808      152.925  DX3
   390952   389877        0.00000      153.808      152.925  DX4
   428022   429081        0.00000      163.682      157.948  DX5
   428021   428727        0.00000      163.026      157.948  DX6
   429085   429790        0.00000      157.089      156.503  DX7
   429084   429791        0.00000      157.089      156.504  DX8
   211280   213686        0.00000      153.138      152.260  DX9
   211279   211287        0.00000      153.138      152.368  DX10
   419545   420721        0.00000      157.500      156.542  DX11
   419544   420719        0.00000      157.500      156.542  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.700  DX14
   152442   146951        0.00000      151.816      150.282  DX15
   152443   146952        0.00000      151.816      150.283  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 180.0548 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00000      158.246      157.717  DX1
   388785   388788        0.00000      151.222      150.951  DX2
   392024   390958        0.00001      153.808      152.926  DX3
   390952   389877        0.00001      153.808      152.925  DX4
   428022   429081        0.00000      163.682      157.949  DX5
   428021   428727        0.00000      163.027      157.949  DX6
   429085   429790        0.00000      157.089      156.505  DX7
   429084   429791        0.00000      157.089      156.506  DX8
   211280   213686        0.00000      153.138      152.263  DX9
   211279   211287        0.00000      153.138      152.371  DX10
   419545   420721        0.00000      157.500      156.544  DX11
   419544   420719        0.00000      157.500      156.543  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.700  DX14
   152442   146951        0.00000      151.816      150.286  DX15
   152443   146952        0.00000      151.816      150.283  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 240.0648 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00002      158.247      157.717  DX1
   388785   388788        0.00001      151.225      150.951  DX2
   392024   390958        0.00001      153.808      152.925  DX3
   390952   389877        0.00001      153.808      152.925  DX4
   428022   429081        0.00000      163.682      157.949  DX5
   428021   428727        0.00000      163.027      157.951  DX6
   429085   429790        0.00000      157.089      156.505  DX7
   429084   429791        0.00001      157.090      156.505  DX8
   211280   213686        0.00000      153.138      152.267  DX9
   211279   211287        0.00000      153.138      152.371  DX10
   419545   420721        0.00000      157.500      156.542  DX11
   419544   420719        0.00000      157.500      156.542  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.700  DX14
   152442   146951        0.00000      151.816      150.288  DX15
   152443   146952        0.00000      151.816      150.285  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 300.0630 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00043      158.249      157.721  DX1
   388785   388788        0.00018      151.230      150.952  DX2
   392024   390958        0.00001      153.808      152.925  DX3
   390952   389877        0.00001      153.808      152.925  DX4
   428022   429081        0.00000      163.682      157.949  DX5
   428021   428727        0.00000      163.027      157.951  DX6
   429085   429790        0.00073      157.093      156.508  DX7
   429084   429791        0.00036      157.092      156.505  DX8
   211280   213686        0.00000      153.138      152.269  DX9
   211279   211287        0.00000      153.138      152.369  DX10
   419545   420721        0.00000      157.500      156.542  DX11
   419544   420719        0.00000      157.500      156.542  DX12
   416907   419546        0.00000      168.700      157.700  DX13
   417266   419132        0.00000      168.700      157.701  DX14
   152442   146951        0.00000      151.816      150.289  DX15
   152443   146952        0.00000      151.816      150.287  DX16
 -----------------------------------------------------------------------
 Abflussmengen durch die Bauwerkssegmente: Zeit = 360.0175 [Sek]
  IJBW_Seg-1  IJBW_Seg-2  QBW_Seg [m^3/s] WSPL-1 [mNN]  WSPL-2 [mNN]  Name
   435423   436325        0.00178      158.254      157.734  DX1
   388785   388788        0.00096      151.240      150.952  DX2
   392024   390958        0.00043      153.813      152.930  DX3
   390952   389877        0.00029      153.812      152.925  DX4
   428022   429081        0.00002      163.684      157.949  DX5
   428021   428727        0.00004      163.030      157.957  DX6
   429085   429790        0.00130      157.096      156.517  DX7
   429084   429791        0.00088      157.094      156.513  DX8
   211280   213686        0.00000      153.139      152.277  DX9
   211279   211287        0.00000      153.139      152.369  DX10
   419545   420721        0.00049      157.504      156.543  DX11
   419544   420719        0.00024      157.502      156.542  DX12
   416907   419546        0.00005      168.701      157.704  DX13
   417266   419132        0.00004      168.701      157.704  DX14
   152442   146951        0.00002      151.817      150.291  DX15
   152443   146952        0.00001      151.816      150.293  DX16

