@context
jams.components.core.TemporalContext	TimeLoop	396
@ancestors
@filters
@attributes
ID	obsQ_apfelstedt_ingersleben	obsQ_bere_ilfeld	obsQ_bode_bleicherode	obsQ_buttelstedt	obsQ_engnitz_huettengrund	obsQ_erbstrom_ruhla	obsQ_erlbach_thieschitz	obsQ_felda_dorndorf	obsQ_felda_kaltennordheim	obsQ_frieda_grosstoepfer	obsQ_geisleden_geisleden	obsQ_gera_arnstadt	obsQ_gera_gehlberg	obsQ_gera_moebisburg	obsQ_gruempen_almerswind	obsQ_hasel_ellingshausen	obsQ_helbe_wasserthaleben	obsQ_helme_sundhausen	obsQ_herpf_walldorf	obsQ_hoersel_eisenach	obsQ_ilm_grafinau	obsQ_ilm_mellingen	obsQ_ilm_niedertrebra	obsQ_katze_katzhuette	obsQ_kaulsdorf_eichicht	obsQ_lauter_suhl	obsQ_leine_ahrenshausen	obsQ_lossa_frohndorf	obsQ_nahe_hinternah	obsQ_nahe_schleusingen	obsQ_nesse_nessemuehle	obsQ_orla_freienorla	obsQ_otterbach_liebschuetz	obsQ_sondra	obsQ_weida_heidholz	totQ_apfelstedt_ingersleben	totQ_bere_ilfeld	totQ_bode_bleicherode	totQ_buttelstedt	totQ_engnitz_huettengrund	totQ_erbstrom_ruhla	totQ_erlbach_thieschitz	totQ_felda_dorndorf	totQ_felda_kaltennordheim	totQ_frieda_grosstoepfer	totQ_geisleden_geisleden	totQ_gera_arnstadt	totQ_gera_gehlberg	totQ_gera_moebisburg	totQ_hasel_ellingshausen	totQ_helbe_wasserthaleben	totQ_helme_sundhausen	totQ_herpf_walldorf	totQ_hoersel_eisenach	totQ_ilm_grafinau	totQ_ilm_mellingen	totQ_ilm_niedertrebra	totQ_katze_katzhuette	totQ_kaulsdorf_eichicht	totQ_lauter_suhl	totQ_leine_ahrenshausen	totQ_lossa_frohndorf	totQ_nahe_hinternah	totQ_nahe_schleusingen	totQ_nesse_nessemuehle	totQ_orla_freienorla	totQ_otterbach_liebschuetz	totQ_sondra	totQ_weida_heidholz	totQcbm	
@types
JAMSLong	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	
@data
@start
2018-08-01 00:00	0.370000	0.013000	0.171000	0.008000	0.060000	0.057000	0.141000	0.310000	0.170000	0.380000	0.124000	0.570000	0.076000	1.240000	0.062000	0.987000	0.195000	0.390000	0.221000	0.254000	0.397000	0.522000	1.190000	0.040000	0.324000	0.188000	0.775000	0.057000	0.150000	0.310000	1.640000	0.433000	0.002000	0.020000	0.015000	1.389677	0.000000	0.000050	0.000000	0.000000	0.069893	0.000000	0.078620	0.070625	0.003180	0.000000	0.541981	0.000124	2.719521	0.336131	0.453655	0.002480	0.483959	1.813644	0.057189	0.076300	0.076300	0.000858	0.062899	0.000097	0.000000	0.014208	0.000000	0.000000	1.879346	0.052901	0.000003	0.259273	0.000000	1069.758503	
2018-08-02 00:00	1.210000	0.012000	0.194000	0.018000	0.085000	0.057000	0.171000	0.369000	0.200000	0.420000	0.124000	0.760000	0.076000	3.330000	0.062000	1.180000	0.338000	0.390000	0.307000	1.210000	0.703000	0.944000	2.010000	0.053000	0.398000	0.220000	0.775000	0.135000	0.150000	0.310000	2.090000	0.364000	0.002000	0.209000	0.015000	2.228343	0.000000	0.000082	0.031709	0.000000	0.112042	0.000000	0.126543	0.113581	0.005176	0.000000	0.870812	0.000203	4.648800	0.540154	0.728003	0.004153	0.775448	2.906249	0.234441	1.821006	1.821006	0.001566	0.116385	0.000159	0.000000	0.295232	0.000000	0.000000	3.012145	0.092013	0.000005	0.415343	0.000000	379.253681	
2018-08-03 00:00	0.820000	0.012000	0.194000	0.009000	0.060000	0.057000	0.141000	0.369000	0.200000	0.380000	0.124000	0.760000	0.052000	1.800000	0.053000	0.929000	0.297000	0.390000	0.221000	0.658000	0.540000	1.140000	1.610000	0.040000	0.398000	0.188000	0.775000	0.739000	0.117000	0.310000	2.000000	0.364000	0.002000	0.065000	0.015000	2.681155	0.000000	0.000100	0.051140	0.000000	0.134765	0.000000	0.152958	0.137151	0.006341	0.000000	1.048846	0.000249	5.711098	0.651630	0.876728	0.005255	0.932173	3.493994	0.340331	2.873529	2.873529	0.001983	0.147475	0.000195	0.000000	0.466035	0.000000	0.000000	3.622206	0.115149	0.000007	0.499156	0.000000	0.522131	
2018-08-04 00:00	2.780000	0.011000	0.194000	0.005000	0.060000	0.057000	0.141000	0.310000	0.200000	0.380000	0.124000	0.660000	0.052000	2.920000	0.053000	0.822000	0.260000	0.390000	0.197000	0.407000	0.397000	0.726000	1.040000	0.040000	0.257000	0.188000	0.775000	0.542000	0.117000	0.310000	1.730000	0.364000	0.002000	0.047000	0.012000	2.869232	0.000000	0.000110	0.061965	0.000078	0.144159	0.000027	0.164599	0.147411	0.006933	0.000000	1.123401	0.000272	6.176893	0.699573	0.939248	0.005960	0.996456	3.735414	0.396438	3.449878	3.449878	0.002216	0.163320	0.000214	0.000000	0.559656	0.000000	0.000000	3.873658	0.137051	0.000008	0.533407	0.000000	27.558808	
2018-08-05 00:00	1.520000	0.010000	0.194000	0.005000	0.085000	0.057000	0.392000	0.310000	0.200000	0.380000	0.124000	0.570000	0.052000	2.240000	0.053000	0.872000	0.260000	0.390000	0.197000	0.328000	0.468000	0.596000	0.897000	0.053000	0.257000	0.188000	0.721000	0.206000	0.117000	0.310000	1.640000	0.505000	0.002000	0.031000	0.015000	2.880667	0.000000	0.000114	0.066876	0.000127	0.144662	0.000044	0.166369	0.148779	0.007141	0.000000	1.128889	0.000281	6.243114	0.705088	0.944229	0.006394	0.999074	3.745811	0.418555	3.690922	3.690922	0.002307	0.168638	0.000222	0.000000	0.600317	0.000000	0.000000	3.885874	0.147831	0.000008	0.534599	0.000000	0.000000	
2018-08-06 00:00	0.700000	0.010000	0.194000	0.005000	0.060000	0.057000	0.171000	0.310000	0.170000	0.380000	0.124000	0.570000	0.052000	1.440000	0.053000	0.822000	0.260000	0.390000	0.197000	0.290000	0.397000	0.558000	0.897000	0.046000	0.257000	0.188000	0.721000	0.135000	0.089000	0.280000	1.640000	0.364000	0.002000	0.031000	0.018000	2.778887	0.000000	0.000114	0.067832	0.000154	0.139467	0.000055	0.161795	0.144436	0.007100	0.000000	1.090094	0.000279	6.051739	0.683369	0.912315	0.006649	0.962191	3.608205	0.418146	3.708294	3.708294	0.002306	0.167093	0.000222	0.000000	0.605631	0.000000	0.000000	3.744805	0.151182	0.000008	0.514617	0.000000	0.000000	
