 MONTHLY SUMMARY
MO   YEAR  O-PPT  N-PPT  INLOS    P-ET   A-ET   SMELT   GW-FL   RS-FL    SRO SIMRO[mm] OBSRO[mm] ERR*100
   10 1985  81.53  78.00  0.23    9.10   6.31   15.43    29.51   7.85   0.16    37.52  299.68  -87.48
   11 1985 134.14 131.63  2.97    8.42   3.34   84.05    23.07  12.41   1.10    36.59  842.85  -95.66
   12 1985 160.37 148.24 11.31   16.96   4.71  124.77    42.34  53.48  70.65   166.46 1442.22  -88.46
    1 1986  81.70  67.00 15.25   22.91   7.66    0.00    47.69   7.09  14.50    69.28 2022.85  -96.57
    2 1986  66.38  55.65  9.70   16.20   5.88   14.19    39.72   2.60   7.67    49.99 2326.15  -97.85
    3 1986  74.82  70.08  4.17   14.33   8.67   37.56    41.71   5.15   4.80    51.66 3127.92  -98.35
    4 1986  52.59  51.66  1.33   15.62  12.66   27.08    34.72   3.33   0.25    38.29  271.89  -85.92
    5 1986  89.33  71.35 17.91   32.93  11.15   70.55    32.97  15.51  14.67    63.16  852.22  -92.59
    6 1986 183.88 144.29 38.33   58.41  17.00  103.61    41.83  33.83  59.68   135.33 1377.57  -90.18
    7 1986 122.29  83.63 38.54   83.37  41.39    0.00    45.23   7.29  19.71    72.24 1994.75  -96.38
    8 1986  36.69  17.42 21.59   49.09  24.15    7.21    35.20   0.18   4.08    39.46 2575.38  -98.47
    9 1986  52.86  44.07  7.09   21.86  12.36   20.52    26.56   1.03   2.86    30.44 3045.15  -99.00
   10 1986  40.64  40.06  0.50    8.06   6.64   19.24    20.75   0.37   0.18    21.30  290.32  -92.66
   11 1986  82.04  74.25  6.99   12.15   3.85   64.04    21.58  12.64  24.11    58.34  833.79  -93.00
   12 1986 129.08 117.95 11.28   16.59   5.20   14.13    32.42  27.30  32.09    91.81 1432.85  -93.59
    1 1987  82.94  70.54 13.48   24.92  11.03    0.00    37.99   9.11  15.02    62.13 2013.48  -96.91
    2 1987  50.68  40.10 11.05   18.17   7.00    7.93    31.76   2.67   8.57    43.00 2317.70  -98.14
    3 1987  68.53  63.62  4.37   14.05   8.52   33.11    31.77   8.44   1.05    41.27 3118.56  -98.68
    4 1987  71.76  67.53  2.72   17.64  13.00   20.41    27.62   3.62   0.27    31.51  373.09  -91.55
    5 1987 143.79 122.47 19.68   34.89  11.53   55.14    29.14  17.86  11.33    58.33  842.85  -93.08
    6 1987 113.51  76.88 37.94   59.64  18.57   89.04    37.91  25.86  61.95   125.72 1368.50  -90.81
    7 1987  54.80  27.61 25.92   83.70  48.73    0.00    35.54   0.01   6.39    41.94 1985.39  -97.89
    8 1987  45.07  27.21 18.12   52.39  26.15    2.89    26.10   0.00   3.39    29.49 2566.02  -98.85
    9 1987  68.02  60.32  9.29   25.55  13.69   38.07    21.15   3.62  13.19    37.97 3036.08  -98.75
   10 1987  53.39  51.25  0.34    7.61   6.40   10.33    16.97   0.00   0.10    17.07  290.32  -94.12
   11 1987  94.16  88.52  5.78   10.84   3.80   87.11    17.74  20.04  18.01    55.80  833.79  -93.31
   12 1987 136.34 127.02 10.42   15.51   4.50   43.22    34.25  25.60  39.60    99.45 1432.85  -93.06
    1 1988  89.07  75.88 14.06   24.36  10.13    0.00    40.41  11.88  16.23    68.52 2013.48  -96.60
    2 1988  26.19  15.28  8.92   19.56  10.28    3.40    32.19   0.03   3.09    35.31 2409.23  -98.53
    3 1988  55.07  50.99  3.73   13.73   8.59   17.29    29.18   1.30   0.30    30.78 3137.29  -99.02
    4 1988  63.21  61.69  0.86   14.57  12.11   17.33    22.86   1.22   0.15    24.23  280.95  -91.38
