  *WEL.ASC - GER                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Gerinne: GER             
  
 Datum_Zeit                    Qzu              Qab             Qtzu             Qtab           Qurbzu           Qnatzu           Qurbab           Qnatab              WSP            Aquer            VDyna             MVol            cO2zu            cO2ab           O2Saet           cBSBzu           cBSBab           cAFSzu           cAFSab           cCSBzu           cCSBab             cTOC             cPO4             cNH4             cNO2             cNO3              Tzu              Tab               pH              ALK              SIC              NH3  G  S
 -                           cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s                m               qm              m/s                %             mg/l             mg/l                %             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l               °C               °C                -           mmol/l           mmol/l             mg/l  -  -
 23.06.1970 00:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60166          9.44036         97.87261          2.95555          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.71171         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60512          9.44036         97.87261          2.95560          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.70825         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60686          9.44036         97.87261          2.95563          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.70572         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60783          9.44036         97.87261          2.95566          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.70302         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60846          9.44036         97.87261          2.95568          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.69954         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60889          9.44036         97.87261          2.95570          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.69560         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60917          9.44036         97.87261          2.95572          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.69176         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60935          9.44036         97.87261          2.95574          2.91960         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.68829         16.71476          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:45          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60947          9.44329         97.87037          2.95576          2.91967         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.68516         16.71446          7.96860          3.97083          4.05600          0.00476  F  F
 23.06.1970 00:50          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60955          9.47056         97.85002          2.95577          2.92039         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.68213         16.71137          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 00:55          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.60960          9.47087         97.85331          2.95578          2.92043         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.67907         16.70800          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:00          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61368          9.47104         97.85498          2.95584          2.92047         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.67300         16.70546          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61717          9.47113         97.85593          2.95589          2.92049         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.66675         16.70268          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61894          9.47119         97.85654          2.95593          2.92052         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.66182         16.69915          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61992          9.47123         97.85694          2.95596          2.92054         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.65720         16.69523          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62057          9.47125         97.85720          2.95599          2.92056         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.65227         16.69142          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62100          9.47127         97.85739          2.95601          2.92058         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.64729         16.68799          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62128          9.47128         97.85750          2.95603          2.92059         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.64271         16.68486          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62146          9.47129         97.85757          2.95605          2.92061         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.63874         16.68183          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62158          9.47424         97.85533          2.95607          2.92069         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.63527         16.67848          7.96860          3.97083          4.05600          0.00470  F  F
